laag	vaknr	vaknaam	vakafkorting	nr	periode	leerstofomschrijving	weging VD	afname	afwijkende hulpmiddelen / bijzonderheden	duur	SE?	weging SE	herkans-baar?	verplichte SE-domeinen
5A	10	Nederlands	NE	5	4	Betoog met uiteenzettende elementen op basis van een dossier. Het volledige dossier moet op een nader te bepalen tijdstip persoonlijk overhandigd worden aan de docent. Levert een leerling van tevoren geen dossier in, of op de dag van het SE, dan is het maximaal te behalen cijfer een 4,0.	2	po	Tekstverwerker met spellingscontrole	100	Ja	5	Nee	C, D
5A	10	Nederlands	NE	6	4	Literatuur: mondeling literatuur o.b.v. leesdossier. Vier literaire werken na 1940 en een uit de 19e eeuw.  Het volledige dossier moet op een nader te bepalen tijdstip persoonlijk overhandigd worden aan de docent. Levert een leerling van tevoren geen leesdossier in, of op de dag van het mondeling, dan is het maximaal te behalen cijfer een 4,0.	2	mt	Woordenboek niet toegestaan	50	Ja	10	Nee	E
5A	10	Nederlands	0	7	0	0	0	0	0	0	0	0	0	0
6A	10	Nederlands	NE	1	1	Formuleren en spellen	0	tt	Woordenboek niet toegestaan	100	Ja	10	Ja	C
6A	10	Nederlands	NE	2	2	Beschouwing en reflectieverslag met behulp van een dossier.  Het volledige dossier moet op een nader te bepalen tijdstip persoonlijk overhandigd worden aan de docent. Levert een leerling van tevoren geen dossier in, of op de dag van het SE, dan is het maximaal te behalen cijfer een 4,0.	0	po	Tekstverwerker met spellingscontrole	100	Ja	20	Nee	C
6A	10	Nederlands	NE	3	2	Tekstverklaring en argumenteren	0	tt	0	100	Ja	20	Ja	A, D
6A	10	Nederlands	NE	4	3	Debat	0	mt	Woordenboek niet toegestaan	50	Ja	15	Nee	B, F
6A	10	Nederlands	NE	5	3	Mondeling literatuur o.b.v. leesdossier: drie moderne werken vanaf 1940 en een historisch werk (1880 - 1940). Het volledige dossier moet op een nader te bepalen tijdstip persoonlijk overhandigd worden aan de docent. Levert een leerling van tevoren geen leesdossier in, of op de dag van het mondeling, dan is het maximaal te behalen cijfer een 4,0. 	0	mt	Woordenboek niet toegestaan	50	Ja	15	Nee	E
6A	10	Nederlands	NE	6	0	0	0	0	0	0	0	0	0	0
6A	10	Nederlands	0	7	0	0	0	0	0	0	0	0	0	0
4M	20	Engels	EN	1	1	                                                             Gespreksvaardigheid	0	mt	0	10	Ja	1	Nee	MVT/K/2, MVT/K/6
4M	20	Engels	EN	2	2	Schrijfvaardigheid	0	tt	Woordenboek N-E	100	Ja	2	Ja	MVT/K/1, MVT/K/3, MVT/K/7
4M	20	Engels	EN	3	3	Luistervaardigheid	0	tt	0	70	Ja	2	Nee	MVT/K/5
4M	20	Engels	EN	4	3	Spreekvaardigheid	0	mt	0	5	Ja	1	Nee	MVT/V/4, MVT/K/3
4M	20	Engels	EN	5	3	Leesvaardigheid	0	tt	Woordenboek E-N	100	Ja	2	Ja	MVT/K/4
4M	20	Engels	EN	6	0	0	0	0	0	0	0	0	0	0
4M	20	Engels	0	7	0	0	0	0	0	0	0	0	0	0
4H	20	Engels	EN	1	1	Of Course Unit 1	2	tt	0	50 minuten	Nee	0	Nee	0
4H	20	Engels	EN	2	2	Spreekvaardigheid	2	mt	0	10 min per lln 	Ja	1	Nee	C2
4H	20	Engels	EN	3	3	schrijfvaardigheid	2	tt	Woordenboek N-E 	100 minuten	Nee	0	Nee	0
4H	20	Engels	EN	4	4	Examenvocabulaire	2	tt	0	30 min	Nee	0	Nee	0
4H	20	Engels	EN	5	4	Leesvaardigheid	2	tt	0	100 min	Nee	0	Nee	0
4H	20	Engels	EN	6	2	Luistervaardigheid	2	tt	0	50 minuten	Nee	0	Nee	0
4H	20	Engels	0	7	0	0	0	0	0	0	0	0	0	0
5H	20	Engels	EN	1	1	Schrijfvaardigheid	0	tt	Woordenboek N-E	100 min	Ja	2	Ja	D
5H	20	Engels	EN	2	2	Literatuur	0	tt	Reader met teksten en aantekeningen	50 min	Ja	2	Nee	E1
5H	20	Engels	EN	3	3	Kijk- en luistervaardigheid	0	lt	0	100 min	Ja	2	Nee	B
5H	20	Engels	EN	4	3	Spreekvaardigheid	0	mt	Aantekeningen	20 min per groepje	Ja	2	Nee	C1, C2
5H	20	Engels	EN	5	0	0	0	0	0	0	0	0	0	0
5H	20	Engels	EN	6	0	0	0	0	0	0	0	0	0	0
5H	20	Engels	0	7	0	0	0	0	0	0	0	0	0	0
4A	20	Engels	EN	1	1	Of Course, hoofdstuktoets. Onderdelen: vocab, grammar, writing.	2	tt	0	100	Nee	0	Nee	0
4A	20	Engels	EN	2	2	Of Course, hoofdstuktoets. Onderdelen: vocab, grammar, writing.	2	tt	0	100	Nee	0	Nee	0
4A	20	Engels	EN	3	3	Of Course, hoofdstuktoets. Onderdelen: vocab, grammar and literature.	2	tt	0	100	Nee	0	Nee	0
4A	20	Engels	EN	4	4	leesvaardigheid	3	tt	0	100	Nee	0	Nee	0
4A	20	Engels	EN	5	4	Spreekvaardigheid wordt in de fysieke lessen door het jaar heen beoordeeld d.m.v. spreekopdrachten.	2	mt	0	0	Nee	0	Nee	0
4A	20	Engels	EN	6	0	0	0	0	0	0	0	0	0	0
4A	20	Engels	0	7	0	0	0	0	0	0	0	0	0	0
5A	20	Engels	EN	1	1	Of Course hoofdstuktoets. Onderdelen: vocab, grammar and linking words.	2	tt	0	100	Nee	0	Nee	0
5A	20	Engels	EN	2	2	Of Course hoofdstuktoets. Onderdelen: vocab, grammar and exam words.	2	tt	0	50	Nee	0	Nee	0
5A	20	Engels	EN	3	2	Literatuur / Presentatie over 3 Engelse literaire werken.	2	mt	0	15	Ja	1	Nee	C2, E1, E2
5A	20	Engels	EN	4	3	Schrijfvaardigheid: Informele brief.	2	tt	Tekstverwerker met spellingscontrole	100	Ja	1	Ja	D1, D2, F
5A	20	Engels	EN	5	4	Leesvaardigheid	3	tt	0	100	Ja	1	Ja	A
5A	20	Engels	EN	6	4	Spreekvaardigheid d.m.v. spreekopdrachten door het jaar heen.	2	mt	0	0	Nee	0	0	0
5A	20	Engels	0	7	0	0	0	0	0	0	0	0	0	0
6A	20	Engels	EN	1	1	Literatuurgeschiedenis. Schriftelijke toets (maximaal 9 punten) en een klassikale opdracht (maximaal 1 punt).	0	tt	0	100	Ja	1	Ja	E2,3
6A	20	Engels	EN	2	2	Essay schrijven	0	tt	Tekstverwerker met spellingscontrole	100	Ja	1	Ja	D1,2, F
6A	20	Engels	EN	3	2	Kijk- en luistertoets	0	lt	0	60	Ja	2	Nee	B, F
6A	20	Engels	EN	4	3	Spreekvaardigheidstoets	0	mt	0	15	Ja	2	Nee	C1, C2, F
6A	20	Engels	EN	5	0	0	0	0	0	0	0	0	0	0
6A	20	Engels	EN	6	0	0	0	0	0	0	0	0	0	0
6A	20	Engels	0	7	0	0	0	0	0	0	0	0	0	0
4M	30	Duits	DU	1	1	Idioom en grammatica 	0	tt	Spiekbrief naamvallen 	100	Ja	2	Ja	MVT/K/2, MVT/K/3
4M	30	Duits	DU	2	1	Taaltaak	0	po	0	0	Ja	2	Nee	MVT/V/4, MVT/K/1
4M	30	Duits	DU	3	2	Schrijfvaardigheid 	0	tt	Tekstverwerker met spellingscontrole Duits toegestaan, Spiekbrief naamvallen	100	Ja	2	Ja	MVT/K/7, MVT/K/3
4M	30	Duits	DU	4	2	Spreekvaardigheid	0	mt	0	20	Ja	3	Nee	MVT/K/6, MVT/K/2, MVT/K/3
4M	30	Duits	DU	5	3	Kijk- luistertoets 	0	lt	Kladpapier en uitgeprinte versie 	100	Ja	3	Nee	MVT/K/5
4M	30	Duits	DU	6	3	Leesvaardigheid 	0	tt	Woordenboek toegestaan (DN - ND)	100	Ja	3	Ja	MVT/K/4
4M	30	Duits	0	7	0	0	0	0	0	0	0	0	0	0
4H	30	Duits	DU	1	1	Herhaling basisgrammatica, woordenschat. 	2	tt	Stappenplan grammatica, geen woordenboek DN en ND	100	Nee	0	0	0
4H	30	Duits	DU	2	2	Kijk-luistertoets	2	tt	geen woordenboek (DN en ND)	50	Nee	0	0	0
4H	30	Duits	DU	3	2	Schrijfvaardigheid (tweetallen) 	2	tt	Stappenplan grammatica,  Spellingscontrole Duits toegestaan. 	100	Nee	0	0	0
4H	30	Duits	DU	4	3	Woordenschat	2	tt	Woordenboek niet toegestaan (DN en ND)	100	Nee	0	0	0
4H	30	Duits	DU	5	4	Leesvaardigheid	3	tt	0	100	Ja	3	Ja	A
4H	30	Duits	DU	6	4	Taaltaak (combinatie van de verschillende vaardigheden) 	2	po	0	0	Nee	0	0	0
4H	30	Duits	0	7	0	Bij tt mag een woordenboek Duits - Nederlands en Nederlands - Duits gebruikt worden, tenzij anders staat aangegeven.	0	0	0	0	0	0	0	0
5H	30	Duits	DU	1	1	Spreekvaardigheid - en gespreksvaardigheid (in tweetallen)	 	mt	Woordenboek niet toegestaan (DN en ND)	25	Ja	3	Nee	C1, C2
5H	30	Duits	DU	2	1	Literatuur	0	po	0	0	Ja	2	Nee	E1
5H	30	Duits	DU	3	2	Schrijfvaardigheid	0	tt	Stappenplan grammatica,  tekstverwerker met spellingscontrole Duits	100	Ja	3	Ja	D1, D2
5H	30	Duits	DU	4	3	Leesvaardigheid	0	tt	Woordenboek DN en ND	100	Ja	3	Ja	0
5H	30	Duits	DU	5	3	Kijk- en luistervaardigheid	0	tt	Woordenboek niet toegestaan (DN en ND)	60	Ja	3	Nee	B
5H	30	Duits	DU	6	0	0	0	0	0	0	0	0	0	0
5H	30	Duits	0	7	0	0	0	0	0	0	0	0	0	0
4A	30	Duits	DU	1	1	PW Basisgrammatica 	2	tt	0	100	Nee	0	Nee	0
4A	30	Duits	DU	2	2	PW Idioom 	2	tt	0	100	Nee	0	0	0
4A	30	Duits	DU	3	3	PW Schrijfvaardigheid 	2	tt	0	100	Nee	0	0	0
4A	30	Duits	DU	4	3	PO taaltaak 	3	po	0	0	Nee	0	0	0
4A	30	Duits	DU	5	4	PW Luistervaardigheid 	2	tt	0	50	Nee	0	0	0
4A	30	Duits	DU	6	4	Leesvaardigheid	3	tt	Woordenboek toegestaan (DN en ND)	100	Ja	3	Ja	0
4A	30	Duits	0	7	0	0	0	0	0	0	0	0	0	0
5A	30	Duits	DU	1	1	Literatuur en Literatuurgeschiedenis 	2	tt	Woordenboek niet toegestaan (DN en ND)	100	Ja	2	Ja	E
5A	30	Duits	DU	2	2	Schrijfvaardigheid 	2	tt	Tekstverwerker met spellingscontrole Duits toegestaan	100	Ja	2	Ja	D
5A	30	Duits	DU	3	3	Proefwerk idioom en eindexamenidioom 	2	tt	Woordenboek niet toegestaan (DN en ND)	100	Nee	0	0	0
5A	30	Duits	DU	4	3	Taaltaak 	3	po	0	0	Nee	0	0	0
5A	30	Duits	DU	5	4	Leesvaardigheid 	3	tt	Woordenboek toegestaan (DN en ND)	100	Ja	3	Ja	0
5A	30	Duits	DU	6	4	Kijk - en luistervaardigheid 	2	tt	Woordenboek niet toegestaan (DN en ND)	50	Nee	0	0	0
5A	30	Duits	0	7	0	0	0	0	0	0	0	0	0	0
6A	30	Duits	DU	1	1	Spreek - en gesprekvaardigheid (deels met partner) 	0	mt	Woordenboek niet toegestaan (DN en ND)	30	Ja	3	Nee	C, F
6A	30	Duits	DU	2	2	Idioom en examenidioom 	0	tt	Woordenboek niet toegestaan (DN en ND)	100	Ja	2	Ja	0
6A	30	Duits	DU	3	2	Eindexamen	0	po	0	0	Ja	2	Nee	0
6A	30	Duits	DU	4	2	Kijk - en luistertoets 	0	tt	Woordenboek niet toegestaan (DN en ND)	100	Ja	2	Nee	B
6A	30	Duits	DU	5	3	Leesvaardigheid 	0	tt	0	100	Ja	3	Ja	0
6A	30	Duits	DU	6	0	0	0	0	0	0	0	0	0	0
6A	30	Duits	0	7	0	0	0	0	0	0	0	0	0	0
4M	40	Frans	FA	1	0	0	0	0	0	0	0	0	0	0
4M	40	Frans	FA	2	0	0	0	0	0	0	0	0	0	0
4M	40	Frans	FA	3	0	0	0	0	0	0	0	0	0	0
4M	40	Frans	FA	4	0	0	0	0	0	0	0	0	0	0
4M	40	Frans	FA	5	0	0	0	0	0	0	0	0	0	0
4M	40	Frans	FA	6	0	0	0	0	0	0	0	0	0	0
4M	40	Frans	0	7	0	0	0	0	0	0	0	0	0	0
4H	40	Frans	FA	1	1	proefwerk over hoofdstuk 1: mix van kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
4H	40	Frans	FA	2	2	proefwerk over hoofdstuk 2: mix van kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
4H	40	Frans	FA	3	3	toets over gelezen boek	1	tt	leesboek en woordenboek F-N	30	Nee	0	Nee	0
4H	40	Frans	FA	4	3	proefwerk over hoofdstuk 4: mix van kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
4H	40	Frans	FA	5	4	mondelinge presentatie 	1	mt	geen	5	Nee	0	Nee	0
4H	40	Frans	FA	6	4	proefwerk over hoofdstuk 5: mix van kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
4H	40	Frans	0	7	0	Bij de hoofdstuktoetsen mag bij het luisterdeel en het kennisdeel geen hulpmiddelen gebruikt worden. Bij het lees- en schrijfdeel mag mijnwoordenboek.nl en vandale.nl. en de référence horend bij de methode gebruikt worden. Het schrijfdeel wordt geschreven in word. 	0	0	0	0	0	0	0	0
5H	40	Frans	FA	1	1	Mondelinge presentatie	0	mt	0	5	Ja	1	Nee	C2
5H	40	Frans	FA	2	1	Vocabulairetoets	0	tt	0	50	Ja	1	Ja	0
5H	40	Frans	FA	3	2	Schrijfvaardigheid	0	tt	Tekstverwerker met spellingscontrole, référence, woordenboeken F-N/N-F	100	Ja	2	Ja	D1 en D2
5H	40	Frans	FA	4	2	Cito kijk- en luistertoets	0	lt	0	60	Ja	2	Nee	B
5H	40	Frans	FA	5	3	Gesprek voeren	0	mt	0	15	Ja	2	Nee	C1
5H	40	Frans	FA	6	3	Toets over gelezen boek en behandelde literatuur	0	tt	Leesboek, woordenboek F-N	100	Ja	2	Ja	E1
5H	40	Frans	0	7	0	0	0	0	0	0	0	0	0	0
4A	40	Frans	FA	1	1	Proefwerk hoofdstuk 1: kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
4A	40	Frans	FA	2	2	Proefwerk hoofdstuk 2: kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
4A	40	Frans	FA	3	3	Toets over gelezen boek	1	tt	leesboek, woordenboek F-N	30	Nee	0	Nee	0
4A	40	Frans	FA	4	3	Proefwerk hoofdstuk 4: kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
4A	40	Frans	FA	5	4	Mondelinge presentatie	1	mt	geen	5	Nee	0	Nee	0
4A	40	Frans	FA	6	4	Proefwerk hoofdstuk 5: kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
4A	40	Frans	0	7	0	Bij de hoofdstuktoetsen mag bij het luisterdeel en het kennisdeel geen hulpmiddelen gebruikt worden. Bij het lees-en schrijfdeel mag vandale.nl , mijnwoordenboek.nl en de référence horend bij de methode gebruikt worden. Het schrijfdeel wordt gemaakt in Word.	0	0	0	0	0	0	0	0
5A	40	Frans	FA	1	1	Proefwerk hoofdstuk 1: kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
5A	40	Frans	FA	2	2	Proefwerk hoofdstuk 2: kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
5A	40	Frans	FA	3	3	Toets over gelezen boek en behandelde literatuur	2	tt	Leesboek, woordenboek F-N	100	Ja	2	Ja	E
5A	40	Frans	FA	4	3	Proefwerk hoofdstuk 4: kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
5A	40	Frans	FA	5	4	Mondelinge presentatie	1	mt	0	5	Ja	1	Nee	C2
5A	40	Frans	FA	6	4	Proefwerk hoofdstuk 5: kennis en vaardigheden	2	tt	0	100	Nee	0	Nee	0
5A	40	Frans	0	7	0	0	0	0	0	0	0	0	0	0
6A	40	Frans	FA	1	1	Schrijfvaardigheid (formeel)	0	tt	Teksverwerker met spellingcontrole, référence, woordenboek F-N, N-F	100	Ja	1	Ja	D
6A	40	Frans	FA	2	2	Schrijfvaardigheid (informeel)	0	tt	Tekstverwerker met spellingcontrole, référence, woordenboek F-N, N-F	100	Ja	2	Ja	D
6A	40	Frans	FA	3	2	Cito kijk-en luistertoets	0	lt	0	60	Ja	3	Nee	B
6A	40	Frans	FA	4	3	Spreekvaardigheid	0	mt	0	15	Ja	2	Nee	C1
6A	40	Frans	FA	5	3	Literatuurtoets	0	tt	Gelezen boek, woordenboek F-N	100	Ja	1	Ja	E
6A	40	Frans	FA	6	0	0	0	0	0	0	0	0	0	0
6A	40	Frans	0	7	0	0	0	0	0	0	0	0	0	0
4M	140	Geschiedenis	GS	1	1	Staatsinrichting. De industriële samenleving in Nederland	0	tt	0	100	Ja	1	Ja	GS/K/1, GS/K/2, GS/K/3, GS/K/5, GS/K/6, GS/V/7
4M	140	Geschiedenis	GS	2	2	Historisch overzicht vanaf 1900	0	tt	0	100	Ja	1	Ja	GS/K/1, GS/K/2, GS/K/3, GS/V/7
4M	140	Geschiedenis	GS	3	3	Historisch overzicht vanaf 1900. Koude Oorlog. Cultureel-mentale ontwikkeling in Nederland vanaf 1945	0	tt	0	100	Ja	1	Ja	GS/K/1, GS/K/2, GS/K/3, GS/K/8, GS/K/9, GS/V/7
4M	140	Geschiedenis	GS	4	0	0	0	0	0	0	0	0	0	0
4M	140	Geschiedenis	GS	5	0	0	0	0	0	0	0	0	0	0
4M	140	Geschiedenis	GS	6	0	0	0	0	0	0	0	0	0	0
4M	140	Geschiedenis	0	7	0	0	0	0	0	0	0	0	0	0
4H	140	Geschiedenis	GS	1	1	Tjdvak 1, 2, 3 en 4	1	po	0	0	Ja	1	Nee	A, B 
4H	140	Geschiedenis	GS	2	1	PW tijdvak 5 en 6	2	tt	0	50	Nee	0	0	0
4H	140	Geschiedenis	GS	3	2	"Tijdvak 5 t/m 8, Thema slavernij; Rechtsstaat "	2	tt	0	100	Ja	2	Ja	A, B, C, D
4H	140	Geschiedenis	GS	4	3	PW tijdvak 5 t/m 9	2	tt	0	100	Nee	0	0	0
4H	140	Geschiedenis	GS	5	4	Tijdvak 5 t/m 10, Thema Europese samenwerking	2	tt	0	100	Ja	2	Ja	A, B, C
4H	140	Geschiedenis	GS	6	0	0	0	0	0	0	0	0	0	0
4H	140	Geschiedenis	0	7	0	0	0	0	0	0	0	0	0	0
5H	140	Geschiedenis	GS	1	1	"Historische context Britse Rijk 1585-1900; Tijdvak 5 t/m 8"	0	tt	0	100	Ja	3	Ja	A
5H	140	Geschiedenis	GS	2	2	"Historische context Duitsland 1918-1991; Tijdvak 5 t/m 10 ; thema Europese samenwerking "	0	tt	0	100	Ja	3	Ja	A, C
5H	140	Geschiedenis	GS	3	3	Historische context Nederland. Tijdvak 5 t/m 10 1948-2008 	0	tt	0	100	Ja	3	Ja	A
5H	140	Geschiedenis	GS	4	0	0	0	0	0	0	0	0	0	0
5H	140	Geschiedenis	GS	5	0	0	0	0	0	0	0	0	0	0
5H	140	Geschiedenis	GS	6	0	0	0	0	0	0	0	0	0	0
5H	140	Geschiedenis	0	7	0	0	0	0	0	0	0	0	0	0
4A	140	Geschiedenis	GS	1	1	so tijdvak 1 en 2	2	tt	0	30 min	0	0	Nee	0
4A	140	Geschiedenis	GS	2	1	pw tijdvak 3 en 4 KA 1 t/m 4	3	tt	0	50 min	0	0	Nee	0
4A	140	Geschiedenis	GS	3	2	pw tijdvak 4 en 5 en KA  1 t/5	3	tt	0	50 min	0	0	Nee	0
4A	140	Geschiedenis	GS	4	3	Historische vaardigheden: Bronvaardigheden en oriëntatiekennis. De rol van personen in de geschiedenis. 	1	po	0	0	Ja	1	Nee	C Thema: historische personen
4A	140	Geschiedenis	GS	5	4	proefwerk tijdvak 6 en KA 1 t/m 6	3	tt	0	50 min	0	0	Nee	0
4A	140	Geschiedenis	GS	6	0	0	0	0	0	0	0	0	0	0
4A	140	Geschiedenis	0	7	0	0	0	0	0	0	0	0	0	0
5A	140	Geschiedenis	GS	1	1	PW Tijdvak 6 en 7 	3	tt	0	100	Nee	0	Nee	0
5A	140	Geschiedenis	GS	2	2	PW Tijdvak 8 en 1 t/m 7	3	tt	0	100	Nee	0	Nee	0
5A	140	Geschiedenis	GS	3	3	Historische vaardigheden: Bronvaardigheden en oriëntatiekennis	2	po	0	0	Ja	1	Nee	C: Keizers in verval, E
5A	140	Geschiedenis	GS	4	3	PW Tijdvak 9 en 1 t/m 8	3	tt	0	100	Nee	0	Nee	0
5A	140	Geschiedenis	GS	5	4	PW Tijdvak 9 en 10  en 1 t/m 8	3	tt	0	100	Nee	0	Nee	0
5A	140	Geschiedenis	GS	6	0	0	0	0	0	0	0	0	0	0
5A	140	Geschiedenis	0	7	0	0	0	0	0	0	0	0	0	0
6A	140	Geschiedenis	GS	1	1	Historische context: De Republiek en Verlichting. Tijdvak 1 t/m 7 	0	tt	0	100	Ja	3	Ja	C: Amerikaanse Revolutie, C: Verlichting in de Republiek, C: Migratie
6A	140	Geschiedenis	GS	2	2	Historische context: Duitsland. Tijdvak 1 t/m 9	0	tt	0	100	Ja	3	Ja	C: Emancipatie, D: Staatsinrichting.
6A	140	Geschiedenis	GS	3	3	Historische context: De Koude Oorlog. Tijdvak 1 t/m 10	0	tt	0	100	Ja	3	Ja	C: Propaganda, E
6A	140	Geschiedenis	GS	4	0	0	0	0	0	0	0	0	0	0
6A	140	Geschiedenis	GS	5	0	0	0	0	0	0	0	0	0	0
6A	140	Geschiedenis	GS	6	0	0	0	0	0	0	0	0	0	0
6A	140	Geschiedenis	0	7	0	0	0	0	0	0	0	0	0	0
4M	45	Maatschappijleer	MA	1	1	H4: Pluriforme samenleving, H7: Werk en H8: Criminaliteit 	1	po	0	0	Ja	1	Nee	ML1/K/1, ML1/K/4, ML1/K/5
4M	45	Maatschappijleer	MA	2	2	H3: Politiek, H5: Nederland en de wereld en H6: Media	1	tt	Woordenboek niet toegestaan	50	Ja	1	Ja	ML1/K/6, ML1/K/7
4M	45	Maatschappijleer	MA	3	3	H1: Wat is maatschappijleer? en H2: Jongeren 	1	po	0	0	Ja	1	Nee	ML1/K/2, ML1/K/3
4M	45	Maatschappijleer	MA	4	0	0	0	0	0	0	0	0	0	0
4M	45	Maatschappijleer	MA	5	0	0	0	0	0	0	0	0	0	0
4M	45	Maatschappijleer	MA	6	0	0	0	0	0	0	0	0	0	0
4M	45	Maatschappijleer	0	7	0	0	0	0	0	0	0	0	0	0
4H	45	Maatschappijleer	MA	1	1	Thema: Wat is Maatschappijleer? Thema: Rechtsstaat	1	po	0	0	Ja	1	Nee	A, B1, B2, B3
4H	45	Maatschappijleer	MA	2	2	Thema: Parlementaire Democratie	1	po	0	0	Ja	1	Nee	C1, C2, C3, A
4H	45	Maatschappijleer	MA	3	2	Thema: Parlementaire Democratie	1	tt	Woordenboek niet toegestaan	100	Ja	1	Ja	C1, C2, C3
4H	45	Maatschappijleer	MA	4	3	Thema: Verzorgingsstaat	1	po	0	0	Ja	1	Nee	D1, D2, D3, D4, A1
4H	45	Maatschappijleer	MA	5	3	Thema: Verzorgingsstaat	1	tt	Woordenboek niet toegestaan	100	Ja	1	Ja	D1, D2, D3, D4
4H	45	Maatschappijleer	MA	6	4	Thema: Pluriforme Samenleving	1	po	0	0	Ja	1	Nee	E1, E2, E3, E4, A2
