laag	vak	nr	per	leerstof	kerndoelen	weging	afname	samen met
2H	AK	4	2	Hoofdstuk 6: Turkije: tussen Europa en Azië                      	kerndoelen onderbouw: 38, 41, 46	2	toets	0
2H	AK	5	3	Hoofdstuk 5: veranderend China + hoofdstuk 7: klimaat in de VS en India 	kerndoelen onderbouw: 29, 30, 31, 38, 41, 46	2	toets	0
2H	AK	6	4	Hoofdstuk 3: Nederland duurzaam: energie en water  	kerndoelen onderbouw: 30, 42	1	PO	0
2M	AK	1	1	Hoofdstuk 1: Zuid-Afrika: een land met twee gezichten                        	kerndoelen onderbouw: 29, 38, 41, 46	2	toets	0
2M	AK	2	1	Hoofdstuk 2 De vorming van de Alpen	kerndoelen onderbouw: 29, 32, 41	2	toets	0
2M	AK	3	2	Hoofdstuk 4: Duitsland in het hart van Europa                                   	kerndoelen onderbouw: 41, 45, 46	2	toets	0
2M	AK	4	2	Hoofdstuk 6: Turkije: tussen Europa en Azië                      	kerndoelen onderbouw: 38, 41, 46	2	toets	0
2M	AK	5	3	Hoofdstuk 5: veranderend China + hoofdstuk 7: klimaat in de VS en India 	kerndoelen onderbouw: 29, 30, 31, 38, 41, 46	2	toets	0
2M	AK	6	4	Hoofdstuk 3: Nederland duurzaam: energie en water  	kerndoelen onderbouw: 30, 42	1	PO	0
3A	AK	1	1	Proefwerk H1: Nigeria	38,46	2	toets	0
3A	AK	2	1	Proefwerk H3: Chili	30,29	2	toets	0
3A	AK	3	2	PO Nederland H2 en H6	29,31,36,38,42,43	3	PO	0
3A	AK	4	3	Proefwerk H4: Europa	36,38,41,43,45,47	2	toets	0
3A	AK	5	3	Proefwerk H5: USA en H7: Rusland 	29,30,38,46,47	2	toets	0
3A	AK	6	4	Proefwerk H8: Ruimteschip Aarde 	29,30,42	2	toets	0
3H	AK	1	1	Proefwerk H1: Nigeria	38,46	2	toets	0
3H	AK	2	1	Proefwerk H3: Chili	30,29	2	toets	0
3H	AK	3	2	PO Nederland H2 en H6	29,31,36,38,42,43	3	PO	0
3H	AK	4	3	Proefwerk H4: Europa	36,38,41,43,45,47	2	toets	0
3H	AK	5	3	Proefwerk H5: USA en H7: Rusland 	29,30,38,46,47	2	toets	0
3H	AK	6	4	Proefwerk H8: Ruimteschip Aarde 	29,30,42	2	toets	0
3M	AK	1	1	Arm & Rijk H1-2	kerndoelen onderbouw: 38,46	2	toets	0
3M	AK	2	1	Arm & Rijk H1-2-3&C	kerndoelen onderbouw: 38,42,43,46,47	2	toets	0
3M	AK	3	2	Bronnen van Energie H4	kerndoelen onderbouw: 29,30,38,42,43	2	toets	0
3M	AK	4	3	Bronnen van Energie H4-5-6&C	kerndoelen onderbouw: 29,30,32,38,42,43,46	2	toets	0
3M	AK	5	4	Grenzen & Identiteit H7	kerndoelen onderbouw: 36,38,43,45,47	2	toets	0
3M	AK	6	4	Grenzen & Identiteit H7-8&C	kerndoelen onderbouw: 29,30,36,38,43,45,47	2	toets	0
1A	BIO	1	1	Hoofdstuk 1: Onderzoeken en ontdekken	28, 31, 32, 33, 34	1	toets	0
1A	BIO	2	2	Hoofdstuk 2: Bewegen	34	2	toets	0
1A	BIO	3	3	Hoofdstuk 3: Waarnemen	32, 34	2	toets	0
1A	BIO	4	3	Hoofdstuk 5: Planten	29, 30, 32	2	toets	0
1A	BIO	5	4	Hoofdstuk 6: Je groene omgeving	29, 30, 33, 35	2	PO	0
1A	BIO	6	4	Hoofdstuk 4: Gedrag	30	2	toets	0
1HA	BIO	1	1	Hoofdstuk 1: Onderzoeken en ontdekken	28, 31, 32, 33, 34	1	toets	0
1HA	BIO	2	2	Hoofdstuk 2: Bewegen	34	2	toets	0
1HA	BIO	3	3	Hoofdstuk 3: Waarnemen	32, 34	2	toets	0
1HA	BIO	4	3	Hoofdstuk 5: Planten	29, 30, 32	2	toets	0
1HA	BIO	5	4	Hoofdstuk 6: Je groene omgeving	29, 30, 33, 35	2	PO	0
1HA	BIO	6	4	Hoofdstuk 4: Gedrag	30	2	toets	0
1MH	BIO	1	1	Hoofdstuk 1: Onderzoeken en ontdekken	28, 31, 32, 33, 34	1	toets	0
1MH	BIO	2	2	Hoofdstuk 2: Bewegen	34	2	toets	0
1MH	BIO	3	3	Hoofdstuk 3: Waarnemen	32, 34	2	toets	0
1MH	BIO	4	3	Hoofdstuk 5: Planten	29, 30, 32	2	toets	0
1MH	BIO	5	4	Hoofdstuk 6: Je groene omgeving	29, 30, 33, 35	2	PO	0
1MH	BIO	6	4	Hoofdstuk 4: Gedrag	30	2	toets	0
2A	BIO	1	1	0	0	0	0	0
2A	BIO	2	0	0	0	0	0	0
2A	BIO	3	0	0	0	0	0	0
2A	BIO	4	0	0	0	0	0	0
2A	BIO	5	0	0	0	0	0	0
2A	BIO	6	0	0	0	0	0	0
2H	BIO	1	1	0	0	0	0	0
2H	BIO	2	0	0	0	0	0	0
2H	BIO	3	0	0	0	0	0	0
2H	BIO	4	0	0	0	0	0	0
2H	BIO	5	0	0	0	0	0	0
2H	BIO	6	0	0	0	0	0	0
2M	BIO	1	1	Thema 1: Verbranding en ademhaling	29, 31, 34	2	toets	0
2M	BIO	2	2	Thema 2: Voeding en vertering	29, 30, 31, 34	2	toets	0
2M	BIO	3	3	Thema 3: De bloedsomloop	29, 34	2	toets	0
2M	BIO	4	3	Thema 4: Seksualiteit en voortplanting	29, 33, 34	2	PO	0
2M	BIO	5	4	Thema 5: Erfelijkheid	29, 34	2	toets	0
2M	BIO	6	4	Thema 6: Duurzaamheid	30, 31, 33, 35	2	PO	0
3A	BIO	1	1	Hoofdstuk 7 Eten	28 35	1	PO	0
3A	BIO	2	2	Hoofdstuk 8 Je lichaam werkt, eerste deel	34 35	2	toets	0
3A	BIO	3	2	Hoofdstuk 8 Je lichaam werkt	 34 35     	2	toets	0
3A	BIO	4	3	Hoofdstuk 10 en 11 Puberteit en voortplanting	34 35	2	toets	0
3A	BIO	5	4	H9 en H12 Evolutie en afweersysteem	30 34	2	toets	0
3A	BIO	6	4	H14 Duurzaam leven	28 29 30 31   	1	PO	0
3H	BIO	1	1	Hoofdstuk 7 Eten	28 35	1	PO	0
3H	BIO	2	2	Hoofdstuk 8 Je lichaam werkt, eerste deel	34 35	2	toets	0
3H	BIO	3	2	Hoofdstuk 8 Je lchaam werkt	34 35	2	toets	0
3H	BIO	4	3	Hoofdstuk 10 en 11 Puberteit en voortplanting	30 34	2	toets	0
3H	BIO	5	4	H9 en H12 Evolutie en afweersysteem	30 34	2	toets	0
3H	BIO	6	4	H14 Duurzaam leven	28 29 30 31	1	PO	0
3M	BIO	1	1	Hoofdstuk 8 Stevigheid en beweging	Bi/K/8	2	toets	0
3M	BIO	2	2	Hoofdstuk 6 Regeling en Hoofdstuk 7 Zintuigen	Bi/K/11	2	toets	0
3M	BIO	3	2	Hoofdstuk 1 Cellen en organen	Bi/K/4	2	toets	0
3M	BIO	4	3	Hoofdstuk 2 Ordening	Bi/K/6	2	toets	0
3M	BIO	5	4	Hoofdstuk 3 Voortplanting !!!!!!	Bi/K/12	2	toets	0
3M	BIO	6	4	Hoofdstuk 4 Erfelijkheid	Bi/K/13	2	toets	0
1A	BV	1	1	compositie	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1A	BV	2	2	lijn	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1A	BV	3	2	kleur	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1A	BV	4	3	vorm	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1A	BV	5	4	licht	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1A	BV	6	4	ruimte	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1HA	BV	1	1	compositie	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1HA	BV	2	2	lijn	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1HA	BV	3	2	kleur	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1HA	BV	4	3	vorm	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1HA	BV	5	4	licht	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1HA	BV	6	4	ruimte	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1MH	BV	1	1	compositie	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1MH	BV	2	2	lijn	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1MH	BV	3	2	kleur	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1MH	BV	4	3	vorm	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1MH	BV	5	4	licht	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
1MH	BV	6	4	ruimte	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2A	BV	1	1	compositie	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2A	BV	2	2	lijn	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2A	BV	3	2	kleur	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2A	BV	4	3	vorm	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2A	BV	5	4	licht	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2A	BV	6	4	ruimte	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2H	BV	1	1	compositie	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2H	BV	2	2	lijn	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2H	BV	3	2	kleur	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2H	BV	4	3	vorm	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2H	BV	5	4	licht	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2H	BV	6	4	ruimte	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2M	BV	1	1	compositie	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2M	BV	2	2	lijn	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2M	BV	3	2	kleur	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2M	BV	4	3	vorm	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2M	BV	5	4	licht	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
2M	BV	6	4	ruimte	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3A	BV	1	1	typografie	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3A	BV	2	2	surrealimse	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3A	BV	3	3	pop art 	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3A	BV	4	4	architectuur	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3A	BV	5	0	0	0	0	0	0
3A	BV	6	0	0	0	0	0	0
3H	BV	1	1	lijn, kleur, vorm	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3H	BV	2	2	compositie, licht, ruimte	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3H	BV	3	3	Pop Art	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3H	BV	4	4	architectuur	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3H	BV	5	0	0	0	0	0	0
3H	BV	6	0	0	0	0	0	0
3M	BV	1	1	beeldende verwerking CA1	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3M	BV	2	2	beeldende verwerking CA2	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3M	BV	3	3	beeldende verwerking CA3	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3M	BV	4	4	beeldende verwerking CA4	Kerndoel 48: Produceren van kunst; Kerndoel 49: Eigen kunstzinnig werk presenteren; Kerndoel 50: Leren kijken en luisteren naar kunst; Kerndoel 51: Verslag doen van ervaringen; Kerndoel 52: Reflecteren op kunstzinnig werk;	1	PO	0
3M	BV	5	0	0	0	0	0	0
3M	BV	6	0	0	0	0	0	0
1A	DU	1	0	0	0	0	0	0
1A	DU	2	0	0	0	0	0	0
1A	DU	3	0	0	0	0	0	0
1A	DU	4	0	0	0	0	0	0
1A	DU	5	0	0	0	0	0	0
1A	DU	6	0	0	0	0	0	0
1HA	DU	1	0	0	0	0	0	0
1HA	DU	2	0	0	0	0	0	0
1HA	DU	3	0	0	0	0	0	0
1HA	DU	4	0	0	0	0	0	0
1HA	DU	5	0	0	0	0	0	0
1HA	DU	6	0	0	0	0	0	0
1MH	DU	1	0	0	0	0	0	0
1MH	DU	2	0	0	0	0	0	0
1MH	DU	3	0	0	0	0	0	0
1MH	DU	4	0	0	0	0	0	0
1MH	DU	5	0	0	0	0	0	0
1MH	DU	6	0	0	0	0	0	0
2A	DU	1	1	"Thema Vorstellen und Familie
Kapitel 1  & 2"	"Kerndoel 17 contact via internet
Kerndoel 11 luistervaardigheid 
kerndoel 12 woordverwerving"	2	toets	0
2A	DU	2	2	Kijk- & luistertoets	"Kerndoel 13 lezen en luisteren, 
kerndoel 11 luistervaardigheid"	2	toets	0
2A	DU	3	3	" Thema Sport und Essen
Kapitel 3 & 4"	"Kerndoel 12 woordverwerving, 
kerndoel 13 lezen"	2	toets	0
2A	DU	4	3	Naamvallen intro Kapitel 6-7-8	"Kerndoel 12 woordverwerving 
kerndoel 13 lezen
Kerndoel 17 contact via internet"	2	toets	0
2A	DU	5	4	Leesvaardigheid	"Kerndoel 13 lezen en luisteren, 
kerndoel 14 omgaan met informatieve bronnen"	2	toets	0
2A	DU	6	4	Taaltaak Ferien	"Kerndoel 15 informele gesprekken, 
kerndoel 16 standaardgesprekken
kerndoel 14 omgaan met informatie, 
kerndoel 15 informele gesprekken, 
kerndoel 16 standaardgesprekken
Onderdeel van het PO is een presentatie voor de klas"	3	PO	0
2H	DU	1	1	Schrijfvaardigheid> Thema voorstellen 	Kerndoel 17> contact via internet, kerndoel 12 > woordverwerving	2	toets	0
2H	DU	2	1	Kijk- luistertoets	Kerndoel 13> lezen en luisteren, kerndoel 11> luistervaardigheid	2	toets	0
2H	DU	3	2	Toets> Thema Sport und Essen	Kerndoel 12> Woordverwerving, kerndoel 13> lezen	2	toets	0
2H	DU	4	3	taaltaak	Kerndoel 14> omgaan met informatie, kerndoel 15> informele gesprekken, kerndoel 16> standaardgesprekken	2	PO	0
2H	DU	5	3	Leestoets	Kerndoel 13> lezen en luisteren, kerndoel 14> omgaan met informatieve bronnen	2	toets	0
2H	DU	6	4	MO	Kerndoel 15> informele gesprekken, kerndoel 16> Standaardgesprekken	3	Mondeling	0
2M	DU	1	1	Kijk- en luistertoets wk 40	11- Luistervaardigheid/12 - woordverwerving	2	toets	0
2M	DU	2	1	Schrijfvaardigheid -thema: vieren en eten wk 48	12- woordverwerving / 17 - contact via internet	2	toets	0
2M	DU	3	2	Schrijfvaardigheid -thema: sport und landeskunde wk 3	14- omgaan met informatiebronnen / 13 lezen	2	toets	0
